subject_id,gold
32,1
33,0
34,2
35,1
36,2
37,0
38,2
39,0
40,1
41,0
42,1
43,1
44,2
45,2
46,1
47,2
48,0
49,1
50,0
51,1
52,1
53,2
54,2
55,1
56,0
57,0
58,1
59,1
60,2
61,2
62,0
63,2
64,1
65,2
66,0
67,0
68,2
69,1
70,1
71,2
72,1
73,2
74,2
75,2
76,2
77,0
78,2
79,1
80,2
81,0
82,0
83,0
84,0
85,2
86,1
87,2
88,1
89,1
90,2
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,2
99,0
0,0
1,0
2,2
3,0
4,0
5,2
6,2
7,0
8,2
9,2
10,0
11,1
12,0
13,1
14,2
15,2
16,0
17,0
18,0
19,2
20,2
21,2
22,1
23,1
24,2
25,0
26,0
27,1
28,2
29,1
30,2
31,0
32,1
33,0
34,2
35,1
36,2
37,0
38,2
39,0
40,1
41,0
42,1
43,1
44,2
45,2
46,1
47,2
48,0
49,1
50,0
51,1
52,1
53,2
54,2
55,1
56,0
57,0
58,1
59,1
60,2
61,2
62,0
63,2
64,1
65,2
66,0
67,0
68,2
69,1
70,1
71,2
72,1
73,2
74,2
75,2
76,2
77,0
78,2
79,1
80,2
81,0
82,0
83,0
84,0
85,2
86,1
87,2
88,1
89,1
90,2
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,2
99,0
0,0
1,0
2,2
3,0
4,0
5,2
6,2
7,0
8,2
9,2
10,0
11,1
12,0
13,1
14,2
15,2
16,0
17,0
18,0
19,2
20,2
21,2
22,1
23,1
24,2
25,0
26,0
27,1
28,2
29,1
30,2
31,0
32,1
33,0
34,2
35,1
36,2
37,0
38,2
39,0
40,1
41,0
42,1
43,1
44,2
45,2
46,1
47,2
48,0
49,1
50,0
51,1
52,1
53,2
54,2
55,1
56,0
57,0
58,1
59,1
60,2
61,2
62,0
63,2
64,1
65,2
66,0
67,0
68,2
69,1
70,1
71,2
72,1
73,2
74,2
75,2
76,2
77,0
78,2
79,1
80,2
81,0
82,0
83,0
84,0
85,2
86,1
87,2
88,1
89,1
90,2
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,2
99,0
0,0
1,0
2,2
3,0
4,0
5,2
6,2
7,0
8,2
9,2
10,0
11,1
12,0
13,1
14,2
15,2
16,0
17,0
18,0
19,2
20,2
21,2
22,1
23,1
24,2
25,0
26,0
27,1
28,2
29,1
30,2
31,0
32,1
33,0
34,2
35,1
36,2
37,0
38,2
39,0
40,1
41,0
42,1
43,1
44,2
45,2
46,1
47,2
48,0
49,1
50,0
51,1
52,1
53,2
54,2
55,1
56,0
57,0
58,1
59,1
60,2
61,2
62,0
63,2
64,1
65,2
66,0
67,0
68,2
69,1
70,1
71,2
72,1
73,2
74,2
75,2
76,2
77,0
78,2
79,1
80,2
81,0
82,0
83,0
84,0
85,2
86,1
87,2
88,1
89,1
90,2
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,2
99,0
